user	date	lon	lat
Ltn12345	Taken on 14 January 2015, 21:19:33	105.851554	21.026742
Ltn12345	2015-01-15 22:03:58	105.851554	21.026742
Ltn12345	Taken on 15 January 2015, 21:25:49	105.851554	21.026742
Ltn12345	2015-01-21 20:43:25	105.851554	21.026742
Ltn12345	2015-11-06 09:30:13	105.851554	21.026742
Ltn12345	2015-01-21 17:16:32	105.851554	21.026742
Ltn12345	2015-01-15 21:55:42	105.851554	21.026742
Ltn12345	2015-11-06 08:42:23	105.851554	21.026742
Ltn12345	2015-11-16 11:42:45	105.810012	21.053573
Ltn12345	2016-05-29 09:31:19	105.812759	21.071515
Ltn12345	2016-05-31 18:51:30	105.816879	21.074804
Ltn12345	2016-07-02 09:06:23	105.820655	21.085535
Ltn12345	2017-01-12 21:48	105.845031	21.029071
Ltn12345	2012-11-28 14:20:34	105.853776	21.030859
Ltn12345	Taken on 29 November 2012, 15:24:22	105.836578	21.043056
Ltn12345	2012-11-29 14:25:03	105.832469	21.039802
Ltn12345	2012-02-12 12:18:09	109.206459	12.273017
Ltn12345	2015-07-30	106.270751	17.430579
Ltn12345	2021-06-24 08:52:38	105.835425	21.0096
Ltn12345	2021-06-25 10:21:53	105.812378	21.027986
Ltn12345	2021-06-25 10:20:10	105.808822	21.021156
Ltn12345	2021-07-02 11:55:40	105.826142	21.001742
Ltn12345	2021-07-02 11:49:30	105.821236	21.0029
Ltn12345	2021-07-02 11:38:44	105.816156	21.004078
Ltn12345	2021-07-02 11:45:03	105.819183	21.002628
Ltn12345	2021-07-02 11:39:09	105.816283	21.004039
Ltn12345	2021-07-02 11:45:08	105.819228	21.002669
Ltn12345	2021-07-02 11:45:30	105.819411	21.002806
Ltn12345	2021-07-02 11:47:54	105.821044	21.002392
Ltn12345	2021-07-02 11:48:00	105.821044	21.002392
Ltn12345	2021-07-02 11:48:45	105.8199	21.002667
Ltn12345	2021-07-02 11:51:05	105.821953	21.0028
Ltn12345	2021-07-04 11:15:51	105.814606	21.002525
Ltn12345	2021-07-04 11:16:53	105.814186	21.003822
Ltn12345	2021-07-04 11:15:35	105.814383	21.002967
Ltn12345	2021-07-04 11:17:35	105.815911	21.004278
Ltn12345	2021-07-04 11:19:51	105.815614	20.99985
Ltn12345	2021-07-04 11:18:49	105.816947	21.000983
Ltn12345	2021-07-04 11:21:34	105.822992	21.006144
Ltn12345	2021-07-04 11:21:27	105.822778	21.005714
Ltn12345	2021-07-04 11:23:23	105.826522	21.0043
Ltn12345	2021-07-04 07:59:58	105.814881	21.002364
Ltn12345	2021-07-04 11:23:26	105.826697	21.004314
Ltn12345	2021-07-04 11:20:46	105.820106	21.00295
Ltn12345	2021-07-04 07:55:16	105.822569	21.002622
Ltn12345	2021-07-09 11:35:57	105.8201	21.002967
Ltn12345	2021-07-09 11:35:53	105.819769	21.002725
Ltn12345	2021-07-09 11:36:12	105.821311	21.003892
Ltn12345	2021-07-09 11:36:42	105.822586	21.005464
Ltn12345	2021-07-09 11:37:52	105.823892	21.008108
Ltn12345	2021-07-09 11:37:37	105.82335	21.007106
Ltn12345	2021-07-09 11:40:36	105.827386	21.004558
Ltn12345	2021-07-09 11:24:31	105.814553	21.001836
Ltn12345	2021-07-09 11:38:16	105.825325	21.008842
Ltn12345	2021-07-09 11:27:39	105.814544	21.001739
Ltn12345	2021-07-09 11:35:34	105.818192	21.001589
Ltn12345	2021-07-09 11:35:45	105.819222	21.002336
Ltn12345	2010-01-17 08:28	105.838851	21.057909
Ltn12345	2021-07-11 11:10:10	105.822119	21.002544
Ltn12345	2021-07-11 11:10:35	105.824592	21.001933
Ltn12345	2021-07-11 11:11:01	105.827064	21.001225
Ltn12345	2021-07-11 11:11:11	105.82705	21.001358
Ltn12345	2021-07-11 07:56:37	105.825347	21.001928
Ltn12345	2021-07-11 11:11:21	105.826233	21.001714
Ltn12345	2021-07-11 11:01:04	105.814597	21.001528
Ltn12345	2021-07-11 07:57:37	105.821075	21.003036
Ltn12345	2021-07-11 11:07:16	105.815339	21.001108
