user	date	lon	lat
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:48:34+00:00	5.4675866	43.4545316
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:48:44+00:00	5.467585	43.4545066
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:48:50.368000+00:00	5.467597944	43.454494472
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:48:54+00:00	5.4675983	43.4544949
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:49:07+00:00	5.467785	43.4543783
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:49:33+00:00	5.46754	43.4544833
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:49:36+00:00	5.46754	43.4544833
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:49:42+00:00	5.46755	43.4544783
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:49:54+00:00	5.4675649	43.45447
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:49:57+00:00	5.46776	43.4543716
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:50:19+00:00	5.467765	43.454365
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:50:24+00:00	5.4677666	43.454365
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:50:28+00:00	5.4677633	43.454365
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:50:30+00:00	5.4677633	43.454365
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:50:35+00:00	5.4675666	43.4544533
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:50:39+00:00	5.4675716	43.4544499
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:50:47+00:00	5.4675616	43.45446
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:50:50+00:00	5.4675616	43.45446
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:50:57+00:00	5.4666533	43.4547033
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:51:01+00:00	5.4662549	43.454915
ed9fa131-af4e-42f6-8e3c-ed8bf742b139|sykul	2024-09-29T16:51:09+00:00	5.46626	43.454915
