id	user	user_id	date	date_kind	lon	lat	pos_accuracy	geoprivacy	quality_grade	photo_url
801174	johanneslundberg	3966	2013-04-22	observed_on	105.6075380	21.4409250		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1009009/square.jpg
801178	johanneslundberg	3966	2013-04-22	observed_on	105.6075380	21.4409250		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1009018/square.jpg
801180	johanneslundberg	3966	2013-04-22	observed_on	105.6182660	21.4453190		open	research	https://inaturalist-open-data.s3.amazonaws.com/photos/1009020/square.jpg
801185	johanneslundberg	3966	2012-04-22	observed_on	105.6182660	21.4453190		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1009030/square.jpg
801191	johanneslundberg	3966	2013-04-22	observed_on	105.6182660	21.4453190		open	research	https://inaturalist-open-data.s3.amazonaws.com/photos/1009039/square.jpg
801198	johanneslundberg	3966	2013-04-22	observed_on	105.6443800	21.4555440		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1009047/square.jpg
805105	johanneslundberg	3966	2013-04-22	observed_on	105.6443800	21.4555440		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014566/square.jpg
805119	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014583/square.jpg
805121	johanneslundberg	3966	2013-04-22	observed_on	105.6443800	21.4555440		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014585/square.jpg
805159	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014679/square.jpg
805160	johanneslundberg	3966	2013-05-02	observed_on	105.6470630	21.4485130		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014681/square.jpg
805165	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014696/square.jpg
805182	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	research	https://inaturalist-open-data.s3.amazonaws.com/photos/1014716/square.jpg
805183	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014721/square.jpg
805188	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014729/square.jpg
805189	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014732/square.jpg
805191	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014739/square.jpg
805192	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014740/square.jpg
805194	johanneslundberg	3966	2013-05-02	observed_on	105.6503250	21.4467160		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014743/square.jpg
805195	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014748/square.jpg
805196	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014751/square.jpg
805198	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014753/square.jpg
805201	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014756/square.jpg
805204	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014759/square.jpg
805208	johanneslundberg	3966	2013-04-23	observed_on	105.6541440	21.4792690		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1014766/square.jpg
810232	johanneslundberg	3966	2013-05-02	observed_on	105.6470630	21.4485130		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1021506/square.jpg
810233	johanneslundberg	3966	2013-05-02	observed_on	105.6470630	21.4485130		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1021510/square.jpg
810243	johanneslundberg	3966	2013-05-02	observed_on	105.6470630	21.4485130		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1021513/square.jpg
810247	johanneslundberg	3966	2013-05-02	observed_on	105.6470630	21.4485130		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1021515/square.jpg
810248	johanneslundberg	3966	2013-05-02	observed_on	105.6470630	21.4485130		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1021525/square.jpg
810261	johanneslundberg	3966	2013-05-02	observed_on	105.6503250	21.4467160		open	research	https://inaturalist-open-data.s3.amazonaws.com/photos/1021561/square.jpg
810262	johanneslundberg	3966	2013-05-02	observed_on	105.6503250	21.4467160		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1021562/square.jpg
886782	johanneslundberg	3966	2013-05-02	observed_on	105.6470630	21.4485130		open	research	https://inaturalist-open-data.s3.amazonaws.com/photos/1126095/square.jpg
1523406	qvuong	102723	2015-05-22	observed_on	105.5050000	21.1377800		open	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/1887933/square.jpg
1523413	qvuong	102723	2015-05-22	observed_on	105.5050000	21.1377800		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1887939/square.jpg
1523434	qvuong	102723	2015-04-27	observed_on	105.4688000	21.0871680		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1887961/square.jpg
1523494	qvuong	102723	2015-05-22	observed_on	105.4694870	21.0878090		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1888043/square.jpg
1523761	qvuong	102723	2013-07-26	observed_on	105.4684070	21.0875110		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1888439/square.jpg
1523781	qvuong	102723	2015-02-25	observed_on	105.4705170	21.0874880		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1888461/square.jpg
1523791	qvuong	102723	2015-03-21	observed_on	105.4708600	21.0884490		open	research	https://inaturalist-open-data.s3.amazonaws.com/photos/1888478/square.jpg
1523794	qvuong	102723	2015-03-21	observed_on	105.4701740	21.0884490		open	research	https://inaturalist-open-data.s3.amazonaws.com/photos/1888484/square.jpg
1523822	qvuong	102723	2015-03-07	observed_on	105.4712040	21.0878090		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1888516/square.jpg
1523889	qvuong	102723	2014-04-04	observed_on	105.4722330	21.0897310		open	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/1888618/square.jpg
1524383	qvuong	102723	2015-05-15	observed_on	105.4725770	21.0897300		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1889113/square.jpg
1524987	qvuong	102723	2015-04-12	observed_on	105.4725770	21.0887700	1983	open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1889743/square.jpg
1554018	qvuong	102723	2015-05-28	observed_on	105.4688000	21.0871680		open	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/1924746/square.jpg
