id	user	user_id	date	date_kind	lon	lat	pos_accuracy	geoprivacy	quality_grade	photo_url	exclude_reason
297263878	superman4realz	6897440	2025-07-12	observed_on	105.3032663	20.9446493	8024	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/535345777/square.jpg	obscured
298392699	maxcafe	7412983	2025-07-15	observed_on	105.3362746	21.1611113	105	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/537482873/square.jpg	obscured
298861883	nextcontinenttours	9140042	2025-07-18	observed_on	105.3454672	21.1731051	225	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/538383734/square.jpg	obscured
299107602	nextcontinenttours	9140042	2025-07-19	observed_on	105.3647807	21.1920964	225	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/538853113/square.jpg	obscured
299113747	a7v	3194889	2025-07-13	observed_on	105.9762315	21.1568391	366	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/538863848/square.jpg	obscured
300631741	sofia2520	8992027	2025-06-26	observed_on	105.8537942	21.1513391	254	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/541658607/square.jpg	obscured
300631742	sofia2520	8992027	2025-06-26	observed_on	105.9061720	21.1064463	254	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/541658607/square.jpg	obscured
301058948	nextcontinenttours	9140042	2025-07-24	observed_on	105.3451636	21.1445928	225	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/542482423/square.jpg	obscured
301058957	nextcontinenttours	9140042	2025-07-24	observed_on	105.3424736	21.1352383	225	obscured	needs_id	https://inaturalist-open-data.s3.amazonaws.com/photos/542482448/square.jpg	obscured
301058966	nextcontinenttours	9140042	2025-07-24	observed_on	105.3506320	21.0196782	225	obscured	research	https://inaturalist-open-data.s3.amazonaws.com/photos/542482489/square.jpg	obscured
303040377	tommwalters	9602755	2025-08-02	observed_on	105.9628243	21.0757789	4	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/546176234/square.jpg	obscured
304943581	superman4realz	6897440	2025-08-09	observed_on	105.8209951	21.1413598	35	obscured	casual	https://inaturalist-open-data.s3.amazonaws.com/photos/549778657/square.jpg	obscured
305137200	diepdaitung	8465946	2025-08-06	observed_on	105.6432429	21.4122519	223	obscured	needs_id	https://static.inaturalist.org/photos/550143015/square.jpg	obscured
